Thornglint Bridge,"['self enter W battlefield tap .', 'indestruct', '{ W } : add { g } W { w } .']"
Anointed Chorister,"['lifelink', '{ 4 } { w } : self get +3/+3 W end W turn .']"
Unexplained Disappearance,"[""return target creatur W W owner 's hand ."", 'surveil 1 .']"
Eldrazi Skyspawner,"['devoid', 'fli', ""W self enter W battlefield , creat W 1/1 colorless eldrazi scion creatur token . W W `` sacrific W creatur : add { c } . ''""]"
Setessan Battle Priest,"['heroic — whenev W cast W spell W target self , W gain 2 life .']"
Loxodon Peacekeeper,"['W W begin W W upkeep , W player W W lowest life total gain control W self . W two W W player W tie W lowest life total , W choos one W W , W W player gain control W self .']"
Chimeric Staff,['{ x } : self becom W x/x construct artifact creatur W end W turn .']
Brazen Buccaneers,"['hast', 'W self enter W battlefield , W explor .']"
Marble Titan,"[""creatur W power 3 W greater W n't untap W W control ' untap step .""]"
Scuttling Sliver,"[""sliver creatur W control W `` { 2 } : untap W creatur . ''""]"
Multiform Wonder,"['W self enter W battlefield , W get { e } { e } { e } .', 'pay { e } : self gain W choic W fli , vigil , W lifelink W end W turn .', 'pay { e } : self get +2/-2 W -2/+2 W end W turn .']"
Victory Chimes,"[""untap self W W W player 's untap step ."", '{ W } : W player W W choic add { c } .']"
God-Pharaoh's Faithful,"['whenev W cast W blue , black , W red spell , W gain 1 life .']"
Into the Core,['exil two target artifact .']
Relic Bane,"['enchant artifact', ""enchant artifact W `` W W begin W W upkeep , W lose 2 life . ''""]"
Trapmaker's Snare,"['search W librari W W trap card , reveal W , put W W W hand , W shuffl .']"
Chimeric Coils,['{ x } { 1 } : self becom W x/x construct artifact creatur . sacrific W W W begin W W next end step .']
War Elemental,"['W self enter W battlefield , sacrific W unless W oppon W dealt damag W turn .', 'whenev W oppon W dealt damag , put W mani +1/+1 counter W self .']"
Defiant Stand,"[""cast W spell W W W declar attack step W W W W 've W attack W step ."", 'target creatur get +1/+3 W end W turn . untap W creatur .']"
Crackling Drake,"['fli', ""self 's power W equal W W total number W instant W sorceri card W W W exil W W W graveyard ."", 'W self enter W battlefield , draw W card .']"
Deathbonnet Sprout // Deathbonnet Hulk,[]
Emberstrike Duo,"['whenev W cast W black spell , self get +1/+1 W end W turn .', 'whenev W cast W red spell , self gain first strike W end W turn .']"
Whipstitched Zombie,"['W W begin W W upkeep , sacrific self unless W pay { b } .']"
"Dina, Soul Steeper","['whenev W gain life , W oppon lose 1 life .', ""{ 1 } , sacrific anoth creatur : self get +x/+0 W end W turn , W x W W sacrif creatur 's power .""]"
Search the City,"['W self enter W battlefield , exil W top five card W W librari .', ""whenev W play W card W W W name W one W W exil card , W may put one W W card W W name W W owner 's hand . W W W W W card exil W self , sacrific W . W W W , take W extra turn W W one .""]"
Cannibalize,['choos two target creatur control W W W player . exil one W W creatur W put two +1/+1 counter W W W .']
Vodalian Illusionist,"['{ u } { u } , { W } : target creatur phase W .']"
Iizuka the Ruthless,"['bushido 2', '{ 2 } { r } , sacrific W samurai : samurai creatur W control gain doubl strike W end W turn .']"
Withering Hex,"['enchant creatur', 'whenev W player cycl W card , put W plagu counter W self .', 'enchant creatur get -1/-1 W W plagu counter W self .']"
Tasseled Dromedary,[]
Alabaster Wall,"['defend', '{ W } : prevent W next 1 damag W would W dealt W W target W turn .']"
Herd Gnarr,"['whenev anoth creatur enter W battlefield W W control , self get +2/+2 W end W turn .']"
Harrowing Journey,['target player draw three card W lose 3 life .']
Shatterskull Giant,[]
Titanoth Rex,"['trampl', 'cycl { 1 } { g }', 'W W cycl self , put W trampl counter W target creatur W control .']"
Dense Canopy,['creatur W fli W block W creatur W fli .']
Sivvi's Valor,"[""W W control W plain , W may tap W untap creatur W control rather W pay W spell 's mana cost ."", 'W damag W would W dealt W target creatur W turn W dealt W W instead .']"
Scythe Tiger,"['shroud', 'W self enter W battlefield , sacrific W unless W sacrific W land .']"
Ensouled Scimitar,"['{ 3 } : self becom W 1/5 spirit artifact creatur W fli W end W turn .', 'equip creatur get +1/+5 .', 'equip { 2 }']"
Shatterskull Minotaur,"['W spell cost { 1 } less W cast W W creatur W W parti .', 'hast']"
Vulshok Heartstoker,"['W self enter W battlefield , target creatur get +2/+0 W end W turn .']"
Bleak Coven Vampires,"['metalcraft — W self enter W battlefield , W W control three W W artifact , target player lose 4 life W W gain 4 life .']"
Silvercoat Lion,[]
"Lu Su, Wu Advisor","['{ W } : draw W card . activ W W W turn , W attack W declar .']"
Briarblade Adept,"['whenev self attack , target creatur W oppon control get -1/-1 W end W turn .', 'encor { 3 } { b }']"
Sunseed Nurturer,"['W W begin W W end step , W W control W creatur W power 5 W greater , W may gain 2 life .', '{ W } : add { c } .']"
Ring of Renewal,"['{ 5 } , { W } : discard W card W random , W draw two card .']"
Confusion in the Ranks,"['whenev W artifact , creatur , W enchant enter W battlefield , W control choos target perman anoth player control W share W card type W W . exchang control W W perman .']"
Basalt Gargoyle,"['fli', 'echo { 2 } { r }', '{ r } : self get +0/+1 W end W turn .']"
Brokers Veteran,"['W self die , put W shield counter W target creatur W control .']"
Ardent Plea,"['exalt', 'cascad']"
Niall Silvain,"['{ g } { g } { g } { g } , { W } : regener target creatur .']"
Soldevi Simulacrum,"['cumul upkeep { 1 }', '{ 1 } : self get +1/+0 W end W turn .']"
Bladewing's Thrall,"['self W fli W long W W control W dragon .', 'W W dragon enter W battlefield , W may return self W W graveyard W W battlefield .']"
Wretched Gryff,"['emerg { 5 } { u }', 'W W cast W spell , draw W card .', 'fli']"
Arcbound Mouser,"['lifelink', 'modular 1']"
Mire's Toll,['target player reveal W number W card W W hand equal W W number W swamp W control . W choos one W W . W player discard W card .']
Kraul Foragers,"['undergrowth — W self enter W battlefield , W gain 1 life W W creatur card W W graveyard .']"
Ranger's Hawk,"['fli', '{ 3 } , { W } , tap anoth untap creatur W control : ventur W W dungeon . activ W W W sorceri .']"
Hooded Hydra,"['self enter W battlefield W x +1/+1 counter W W .', 'W self die , creat W 1/1 green snake creatur token W W +1/+1 counter W W .', 'morph { 3 } { g } { g }', 'W self W turn face W , put five +1/+1 counter W W .']"
Nav Squad Commandos,"['battalion — whenev self W W least two W creatur attack , self get +1/+1 W end W turn . untap W .']"
Gryff's Boon,"['enchant creatur', 'enchant creatur get +1/+0 W W fli .', '{ 3 } { w } : return self W W graveyard W W battlefield attach W target creatur . activ W W W sorceri .']"
Yavimaya Gnats,"['fli', '{ g } : regener self .']"
Moonsnare Prototype,"['{ W } , tap W untap artifact W creatur W control : add { c } .', 'channel — { 4 } { u } , discard self : W owner W target non-land perman put W W W top W bottom W W librari .']"
Voracious Cobra,"['first strike', 'whenev self deal combat damag W W creatur , destroy W creatur .']"
Rumbling Slum,"['W W begin W W upkeep , self deal 1 damag W W player .']"
Furnace Celebration,"['whenev W sacrific anoth perman , W may pay { 2 } . W W W , self deal 2 damag W W target .']"
Horizon Spellbomb,"['{ 2 } , { W } , sacrific self : search W librari W W basic land card , reveal W , put W W W hand , W shuffl .', 'W self W put W W graveyard W W battlefield , W may pay { g } . W W W , draw W card .']"
Rune-Cervin Rider,"['fli', '{ g/w } { g/w } : self get +1/+1 W end W turn .']"
Thelon's Chant,"['W W begin W W upkeep , sacrific self unless W pay { g } .', 'whenev W player put W swamp onto W battlefield , self deal 3 damag W W player unless W player put W -1/-1 counter W W creatur W control .']"
Chalice of Life // Chalice of Death,[]
Conclave Tribunal,"['convok', 'W self enter W battlefield , exil target non-land perman W oppon control W self leav W battlefield .']"
Rally the Righteous,['radianc — untap target creatur W W W creatur W share W color W W . W creatur get +2/+0 W end W turn .']
Mischief and Mayhem,['W W two target creatur W get +4/+4 W end W turn .']
Fecundity,"[""whenev W creatur die , W creatur 's control may draw W card .""]"
Ambitious Farmhand // Seasoned Cathar,[]
Thunderscape Familiar,"['first strike', 'black spell W green spell W cast cost { 1 } less W cast .']"
Coveted Peacock,"['fli', 'whenev self attack , W may goad target creatur defend player control .']"
Expedition Map,"['{ 2 } , { W } , sacrific self : search W librari W W land card , reveal W , put W W W hand , W shuffl .']"
Culling Dais,"['{ W } , sacrific W creatur : put W charg counter W self .', '{ 1 } , sacrific self : draw W card W W charg counter W self .']"
Elvish Ranger,[]
"Darigaaz, the Igniter","['fli', 'whenev self deal combat damag W W player , W may pay { 2 } { r } . W W W , choos W color , W W player reveal W hand W self deal damag W W player equal W W number W card W W color reveal W way .']"
Viashino Bey,"['W self attack , W creatur W control attack W abl .']"
Lonely Sandbar,"['self enter W battlefield tap .', '{ W } : add { u } .', 'cycl { u }']"
Flashfires,['destroy W plain .']
Combo Attack,['two target creatur W team control W deal damag equal W W power W target creatur .']
Frontier Mastodon,['feroci — self enter W battlefield W W +1/+1 counter W W W W control W creatur W power 4 W greater .']
Bringer of the Black Dawn,"[""W may pay { w } { u } { b } { r } { g } rather W pay W spell 's mana cost ."", 'trampl', 'W W begin W W upkeep , W may pay 2 life . W W W , search W librari W W card , W shuffl W put W card W top .']"
Lys Alana Scarblade,"['{ W } , discard W elf card : target creatur get -x/-x W end W turn , W x W W number W elv W control .']"
Detention Vortex,"['enchant non-land perman', ""enchant perman ca n't attack W block , W W activ abil ca n't W activ ."", '{ 3 } : destroy self . W W oppon may activ W abil W W W W sorceri .']"
Blightwidow,"['reach', 'infect']"
Spoils of Victory,"['search W librari W W plain , island , swamp , mountain , W forest card W put W card onto W battlefield . W shuffl .']"
Gyre Engineer,['{ W } : add { g } { u } .']
Goblin Tinkerer,"['{ r } , { W } : destroy target artifact . W artifact deal damag equal W W mana valu W self .']"
End-Raze Forerunners,"['vigil , trampl , hast', 'W self enter W battlefield , W creatur W control get +2/+2 W gain vigil W trampl W end W turn .']"
Deepwood Legate,"['W W oppon control W forest W W control W swamp , W may cast W spell without pay W mana cost .', '{ b } : self get +1/+1 W end W turn .']"
Rancor,"['enchant creatur', 'enchant creatur get +2/+0 W W trampl .', ""W self W put W W graveyard W W battlefield , return self W W owner 's hand .""]"
Scepter of Empires,"['{ W } : self deal 1 damag W target player W planeswalk . W deal 3 damag instead W W control artifact name name_crown_of_empir , W name_throne_of_empir .']"
Drop of Honey,"[""W W begin W W upkeep , destroy W creatur W W least power . W ca n't W regener . W two W W creatur W tie W least power , W choos one W W ."", 'W W W W creatur W W battlefield , sacrific self .']"
Wary Okapi,['vigil']
Trigon of Corruption,"['self enter W battlefield W three charg counter W W .', '{ b } { b } , { W } : put W charg counter W self .', '{ 2 } , { W } , remov W charg counter W self : put W -1/-1 counter W target creatur .']"
Glimmerbell,"['fli', '{ 1 } { u } : untap self .']"
Cho-Arrim Bruiser,"['whenev self attack , W may tap W W two target creatur .']"
Whispering Wizard,"['whenev W cast W non-creatur spell , creat W 1/1 white spirit creatur token W fli . W abil trigger W W W turn .']"
Lapis Orb of Dragonkind,"['{ W } : add { u } . W W spend W mana W cast W dragon creatur spell , scri 2 .']"
Goblin Bird-Grabber,['{ r } : self gain fli W end W turn . activ W W W control W creatur W fli .']
Massacre Wurm,"['W self enter W battlefield , creatur W oppon control get -2/-2 W end W turn .', 'whenev W creatur W oppon control die , W player lose 2 life .']"
Hedron Matrix,"['equip creatur get +x/+x , W x W W mana valu .', 'equip { 4 }']"
Geist Trappers,"['soulbond', 'W long W self W pair W anoth creatur , W creatur W reach .']"
Enduring Victory,['destroy target attack W block creatur . bolster 1 .']
Archangel,"['fli , vigil']"
Toxin Sliver,"[""whenev W sliver deal combat damag W W creatur , destroy W creatur . W ca n't W regener .""]"
Phyrexian Scriptures,"['', 'W — put W +1/+1 counter W W W one target creatur . W creatur becom W artifact W addit W W W type .', 'ii — destroy W non-artifact creatur .', ""iii — exil W oppon ' graveyard .""]"
Firefiend Elemental,"['hast', 'renown 1']"
Mausoleum Secrets,"['undergrowth — search W librari W W black card W mana valu less W W equal W W number W creatur card W W graveyard , reveal W , put W W W hand , W shuffl .']"
Psychic Transfer,"[""W W differ W W life total W target player 's life total W 5 W less , exchang life total W W player .""]"
"Alirios, Enraptured","['self enter W battlefield tap .', ""self W n't untap W W untap step W W control W reflect ."", 'W self enter W battlefield , creat W 3/2 blue reflect creatur token .']"
Tavern Scoundrel,"['whenev W win W coin flip , creat two treasur token .', '{ 1 } , { W } , sacrific anoth perman : flip W coin .']"
